run_id,cycle,tau_t,sigma_t,switch_cycle,tau,sigma,tau_after,sigma_after,s1,s2,peer_signal,price_1,markup_1,unit_cost_1,quantity_1,profit_1,elasticity_1,price_2,markup_2,unit_cost_2,quantity_2,profit_2,elasticity_2,rho,gamma,delta
20260218-144529_seed1_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5180599638800041,0.481940036119996,0.5180599638800041,1.0945,0.1,0.995,259.029981940002,,,1.1605,0.1,1.055,240.97001805999798,,,0.2,0.5,0.8
20260218-144529_seed1_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5453599092800011,0.45464009071999884,0.5453599092800011,1.0949074141000212,0.10040946140705644,0.995,272.6799546400006,,10.243064371395086,1.7472861064944425,0.6561953616061068,1.055,227.32004535999943,,1.0890955332504941,0.2,0.5,0.8
20260218-144530_seed2_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5180799638400038,0.48192003615999623,0.5180799638400038,1.0945,0.1,0.995,259.0399819200019,,,1.1605,0.1,1.055,240.96001807999812,,,0.2,0.5,0.8
20260218-144530_seed2_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5457399085200018,0.4542600914799982,0.5457399085200018,1.0948320994206504,0.10033376826196017,0.995,272.8699542600009,,10.374235539364237,1.6627844908190625,0.5760990434303912,1.055,227.1300457399991,,1.1039287038350438,0.2,0.5,0.8
20260218-144531_seed3_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5177799644400038,0.48222003555999615,0.5177799644400038,1.0945,0.1,0.995,258.8899822200019,,,1.1605,0.1,1.055,241.1100177799981,,,0.2,0.5,0.8
20260218-144531_seed3_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5453799092400018,0.4546200907599982,0.5453799092400018,1.094841217131425,0.10034293179037698,0.995,272.6899546200009,,10.358158022914264,1.6787564228370337,0.5912383154853402,1.055,227.3100453799991,,1.1007580399169663,0.2,0.5,0.8
20260218-144532_seed4_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5184399631200042,0.48156003687999577,0.5184399631200042,1.0945,0.1,0.995,259.2199815600021,,,1.1605,0.1,1.055,240.7800184399979,,,0.2,0.5,0.8
20260218-144532_seed4_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5460999078000008,0.4539000921999991,0.5460999078000008,1.094836074743013,0.10033776356081715,0.995,273.04995390000045,,10.36721895421414,1.6586686109113054,0.5721977354609532,1.055,226.95004609999955,,1.1047783681364332,0.2,0.5,0.8
20260218-144533_seed5_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5178999642000038,0.48210003579999616,0.5178999642000038,1.0945,0.1,0.995,258.94998210000193,,,1.1605,0.1,1.055,241.05001789999807,,,0.2,0.5,0.8
20260218-144533_seed5_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5456399087200012,0.45436009127999877,0.5456399087200012,1.0948136262761456,0.10031520228758349,0.995,272.8199543600006,,10.406979696107115,1.6491826599820691,0.5632063127792126,1.055,227.18004563999938,,1.1067905293783982,0.2,0.5,0.8
20260218-144534_seed6_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5182399635200042,0.4817600364799957,0.5182399635200042,1.0945,0.1,0.995,259.11998176000213,,,1.1605,0.1,1.055,240.88001823999787,,,0.2,0.5,0.8
20260218-144534_seed6_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5456599086800022,0.4543400913199978,0.5456599086800022,1.0948840007186857,0.10038593037053825,0.995,272.8299543400011,,10.2834471595672,1.7137589872445211,0.6244161016535744,1.055,227.1700456599989,,1.0944436707607312,0.2,0.5,0.8
20260218-144535_seed7_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5177599644800039,0.482240035519996,0.5177599644800039,1.0945,0.1,0.995,258.879982240002,,,1.1605,0.1,1.055,241.120017759998,,,0.2,0.5,0.8
20260218-144535_seed7_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5451599096800016,0.45484009031999834,0.5451599096800016,1.0948828616749429,0.10038478560295762,0.995,272.5799548400008,,10.285420755199109,1.725485064025222,0.635530866374618,1.055,227.42004515999918,,1.0925016555212728,0.2,0.5,0.8
20260218-144536_seed8_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5180199639600042,0.48198003603999584,0.5180199639600042,1.0945,0.1,0.995,259.00998198000207,,,1.1605,0.1,1.055,240.99001801999793,,,0.2,0.5,0.8
20260218-144536_seed8_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5453799092400022,0.45462009075999776,0.5453799092400022,1.0948942247665412,0.10039620579551886,0.995,272.6899546200011,,10.265769671260722,1.7319430253031305,0.6416521566854319,1.055,227.31004537999888,,1.0914658423798596,0.2,0.5,0.8
20260218-144537_seed9_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.517759964480004,0.4822400355199959,0.517759964480004,1.0945,0.1,0.995,258.87998224000205,,,1.1605,0.1,1.055,241.12001775999795,,,0.2,0.5,0.8
20260218-144537_seed9_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5451799096400023,0.4548200903599977,0.5451799096400023,1.094878644717515,0.10038054745478893,0.995,272.58995482000114,,10.292734692916374,1.7204695641273877,0.6307768380354386,1.055,227.41004517999886,,1.0933224366012866,0.2,0.5,0.8
20260218-144538_seed10_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5185799628400041,0.4814200371599959,0.5185799628400041,1.0945,0.1,0.995,259.28998142000205,,,1.1605,0.1,1.055,240.71001857999795,,,0.2,0.5,0.8
20260218-144538_seed10_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5460999078000022,0.4539000921999979,0.5460999078000022,1.0948667717363973,0.10036861481044962,0.995,273.04995390000107,,10.3133893500198,1.686170285973743,0.5982656739087614,1.055,226.95004609999893,,1.0993511033877201,0.2,0.5,0.8
20260218-144539_seed11_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5183999632000039,0.48160003679999613,0.5183999632000039,1.0945,0.1,0.995,259.19998160000193,,,1.1605,0.1,1.055,240.80001839999807,,,0.2,0.5,0.8
20260218-144539_seed11_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5458799082400009,0.4541200917599991,0.5458799082400009,1.0948731572362431,0.10037503239823414,0.995,272.93995412000044,,10.302269511236148,1.6974521905458635,0.6089594223183542,1.055,227.06004587999956,,1.0972839446632991,0.2,0.5,0.8
20260218-144540_seed12_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5187399625200042,0.48126003747999585,0.5187399625200042,1.0945,0.1,0.995,259.3699812600021,,,1.1605,0.1,1.055,240.63001873999792,,,0.2,0.5,0.8
20260218-144540_seed12_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5460399079200012,0.4539600920799987,0.5460399079200012,1.0949150433947685,0.10041712903996847,0.995,273.01995396000063,,10.229981348255093,1.7369454392614612,0.6463937812904844,1.055,226.98004603999937,,1.090679296170116,0.2,0.5,0.8
20260218-144541_seed13_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.518799962400004,0.48120003759999597,0.518799962400004,1.0945,0.1,0.995,259.399981200002,,,1.1605,0.1,1.055,240.600018799998,,,0.2,0.5,0.8
20260218-144541_seed13_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5460999078000012,0.4539000921999989,0.5460999078000012,1.0949157166692098,0.1004178056976984,0.995,273.04995390000056,,10.228828568222957,1.7360489281256137,0.6455440077020036,1.055,226.95004609999944,,1.0908192611317347,0.2,0.5,0.8
20260218-144543_seed14_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.517879964240004,0.48212003575999596,0.517879964240004,1.0945,0.1,0.995,258.939982120002,,,1.1605,0.1,1.055,241.060017879998,,,0.2,0.5,0.8
20260218-144543_seed14_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5453599092800017,0.4546400907199983,0.5453599092800017,1.0948673698940912,0.10036921597396088,0.995,272.67995464000086,,10.312346577691295,1.7043281909620625,0.6154769582578792,1.055,227.32004535999914,,1.0960657320304017,0.2,0.5,0.8
20260218-144544_seed15_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5178799642400042,0.48212003575999585,0.5178799642400042,1.0945,0.1,0.995,258.93998212000207,,,1.1605,0.1,1.055,241.06001787999793,,,0.2,0.5,0.8
20260218-144544_seed15_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5453199093600017,0.4546800906399983,0.5453199093600017,1.0948757722735207,0.10037766057640277,0.995,272.65995468000085,,10.297723292429524,1.7138779339924044,0.6245288473861655,1.055,227.34004531999915,,1.0944235620907294,0.2,0.5,0.8
20260218-144545_seed16_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.517659964680004,0.482340035319996,0.517659964680004,1.0945,0.1,0.995,258.829982340002,,,1.1605,0.1,1.055,241.170017659998,,,0.2,0.5,0.8
20260218-144545_seed16_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5448799102400016,0.45512008975999846,0.5448799102400016,1.0949199969882573,0.1004221075258866,0.995,272.4399551200008,,10.221506538054927,1.776656179190495,0.6840342930715593,1.055,227.56004487999923,,1.0848847012612315,0.2,0.5,0.8
20260218-144546_seed17_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.517719964560004,0.48228003543999604,0.517719964560004,1.0945,0.1,0.995,258.859982280002,,,1.1605,0.1,1.055,241.140017719998,,,0.2,0.5,0.8
20260218-144546_seed17_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.546119907760002,0.45388009223999803,0.546119907760002,1.0946795955310034,0.10018049802110897,0.995,273.059953880001,,10.651581719800884,1.5503951494669805,0.46956886205401016,1.055,226.940046119999,,1.1334868032698093,0.2,0.5,0.8
20260218-144547_seed18_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5173599652800038,0.48264003471999617,0.5173599652800038,1.0945,0.1,0.995,258.6799826400019,,,1.1605,0.1,1.055,241.32001735999808,,,0.2,0.5,0.8
20260218-144547_seed18_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5445799108400018,0.45542008915999815,0.5445799108400018,1.0949166203635805,0.10041871393324667,0.995,272.2899554200009,,10.227281715911147,1.781778086811399,0.6888891818117528,1.055,227.71004457999908,,1.0841907910284998,0.2,0.5,0.8
20260218-144548_seed19_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5176999646000041,0.4823000353999959,0.5176999646000041,1.0945,0.1,0.995,258.84998230000207,,,1.1605,0.1,1.055,241.15001769999793,,,0.2,0.5,0.8
20260218-144548_seed19_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5450799098400012,0.45492009015999885,0.5450799098400012,1.0948864148295914,0.10038835661265465,0.995,272.5399549200006,,10.279267055668543,1.7314686878967902,0.6412025477694694,1.055,227.46004507999942,,1.091541132871286,0.2,0.5,0.8
20260218-144549_seed20_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.517799964400004,0.482200035599996,0.517799964400004,1.0945,0.1,0.995,258.899982200002,,,1.1605,0.1,1.055,241.100017799998,,,0.2,0.5,0.8
20260218-144549_seed20_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5451599096800022,0.4548400903199978,0.5451599096800022,1.0948917635070097,0.10039373216784904,0.995,272.5799548400011,,10.270019059908092,1.7351927658280017,0.6447324794578219,1.055,227.4200451599989,,1.0909533306988026,0.2,0.5,0.8
